"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"18 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99204.00","99900.00","99194.00","99777.00","99272.00","75","75.000 GRMS ","7472.78","295"
"17 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99280.00","99332.00","98799.00","99272.00","99515.00","96","96.000 GRMS ","9510.54","289"
"16 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99225.00","100050.00","98956.00","99515.00","99014.00","78","78.000 GRMS ","7765.75","265"
"15 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99727.00","99799.00","98900.00","99014.00","99544.00","57","57.000 GRMS ","5655.36","264"
"14 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99886.00","100229.00","99491.00","99544.00","99565.00","101","101.000 GRMS ","10087.29","254"
"11 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99009.00","99786.00","98997.00","99565.00","98479.00","122","122.000 GRMS ","12119.56","253"
"10 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98291.00","98750.00","98219.00","98479.00","98312.00","53","53.000 GRMS ","5222.11","267"
"09 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98008.00","98336.00","97665.00","98312.00","98180.00","87","87.000 GRMS ","8518.63","268"
"08 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98937.00","98972.00","97841.00","98180.00","99043.00","89","89.000 GRMS ","8752.67","260"
"07 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98325.00","99080.00","98250.00","99043.00","98766.00","57","57.000 GRMS ","5621.96","241"
"04 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98657.00","98945.00","98657.00","98766.00","98715.00","21","21.000 GRMS ","2074.43","240"
"03 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99272.00","99521.00","98310.00","98715.00","99098.00","65","65.000 GRMS ","6422.26","239"
"02 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99003.00","99238.00","98900.00","99098.00","99105.00","28","28.000 GRMS ","2773.73","222"
"01 Jul 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98499.00","99400.00","98464.00","99105.00","97899.00","71","71.000 GRMS ","7029.69","219"
"30 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97443.00","97935.00","97261.00","97899.00","97347.00","81","81.000 GRMS ","7913.77","220"
"27 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98500.00","98500.00","96816.00","97347.00","98731.00","108","108.000 GRMS ","10539.19","225"
"26 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99386.00","99414.00","98500.00","98731.00","99144.00","45","45.000 GRMS ","4456.08","203"
"25 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99319.00","99350.00","98932.00","99144.00","98731.00","32","32.000 GRMS ","3172.85","195"
"24 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100002.00","100129.00","98590.00","98731.00","101393.00","116","116.000 GRMS ","11528.51","193"
"23 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100899.00","101500.00","100651.00","101393.00","100842.00","53","53.000 GRMS ","5358.92","148"
"20 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100506.00","100900.00","100256.00","100842.00","101100.00","48","48.000 GRMS ","4833.56","150"
"19 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101027.00","101250.00","100460.00","101100.00","101266.00","37","37.000 GRMS ","3732.55","145"
"18 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101052.00","101370.00","101000.00","101266.00","101005.00","27","27.000 GRMS ","2732.08","136"
"17 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100756.00","101430.00","100756.00","101005.00","100881.00","42","42.000 GRMS ","4243.13","136"
"16 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","102081.00","102225.00","100556.00","100881.00","101894.00","57","57.000 GRMS ","5786.71","116"
"13 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","101923.00","102200.00","101335.00","101894.00","100083.00","95","95.000 GRMS ","9678.48","99"
"12 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99925.00","100300.00","99150.00","100083.00","98892.00","98","98.000 GRMS ","9791.34","95"
"11 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98996.00","99487.00","98610.00","98892.00","98891.00","70","70.000 GRMS ","6929.20","118"
"10 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98226.00","99146.00","97974.00","98891.00","98837.00","39","39.000 GRMS ","3845.30","130"
"09 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97882.00","98874.00","97882.00","98837.00","98682.00","38","38.000 GRMS ","3741.00","125"
"06 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99883.00","100102.00","98500.00","98682.00","99298.00","43","43.000 GRMS ","4264.86","110"
"05 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","100040.00","100600.00","99085.00","99298.00","99985.00","92","92.000 GRMS ","9209.42","89"
"04 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99547.00","100141.00","99257.00","99985.00","99042.00","38","38.000 GRMS ","3791.13","58"
"03 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99319.00","99319.00","98800.00","99042.00","99402.00","28","28.000 GRMS ","2776.04","52"
"02 Jun 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97820.00","99510.00","97820.00","99402.00","97253.00","47","47.000 GRMS ","4657.12","42"
"30 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97492.00","97492.00","97000.00","97253.00","97261.00","8","8.000 GRMS ","778.02","45"
